year,status,flag,wrestler,name,team,weight_class,seed,placement,ncaa_wins,ncaa_losses,individual_id,cand_last_year,cand_last_team,cand_last_weight,cand_teams
2026,linked,,Jared Keslar (Pittsburgh),Jared Keslar,Pittsburgh,165,31,NA,1,2,5762,2025,Pittsburgh,165,Pittsburgh
2026,linked,,Jared McGill (Edinboro),Jared McGill,Edinboro,184,19,NA,1,2,5764,2025,Edinboro,184,Edinboro
2026,linked,,Jared Simma (Northern Iowa),Jared Simma,Northern Iowa,174,17,NA,1,2,5770,2025,Northern Iowa,174,Northern Iowa
2026,linked,,Jesse Mendez (Ohio State),Jesse Mendez,Ohio State,141,1,Second,4,1,6205,2025,Ohio State,141,Ohio State
2026,linked,,Jett Strickenberger (West Virginia),Jett Strickenberger,West Virginia,125,17,NA,3,2,6222,2025,West Virginia,125,West Virginia
2026,linked,,Jimmy Mullen (Virginia Tech),Jimmy Mullen,Virginia Tech,285,16,NA,1,2,6502,2025,Virginia Tech,285,Virginia Tech
2026,linked,,Joey Blaze (Purdue),Joey Blaze,Purdue,165,2,Sixth,3,3,6766,2025,Purdue,157,Purdue
2026,linked,,Jordan Titus (West Virginia),Jordan Titus,West Virginia,141,29,NA,1,2,7341,2025,West Virginia,141,West Virginia
2026,linked,,Josh Barr (Penn State),Josh Barr,Penn State,197,1,First,5,0,7380,2025,Penn State,197,Penn State
2026,linked,,Jude Swisher (Penn),Jude Swisher,Penn,157,6,NA,3,2,7458,2025,Penn,157,Penn
2026,linked,,Julian Farber (Northern Iowa),Julian Farber,Northern Iowa,133,20,NA,3,2,7463,2025,Northern Iowa,133,Northern Iowa
2026,linked,,Julian Tagg (South Dakota State),Julian Tagg,South Dakota State,141,20,NA,0,2,7471,2025,South Dakota State,141,South Dakota State
2026,linked,,Kaden Cassidy (George Mason),Kaden Cassidy,George Mason,149,29,NA,1,2,7531,2025,George Mason,149,George Mason
2026,linked,,Kannon Webster (Illinois),Kannon Webster,Illinois,157,7,Fifth,5,2,7545,2025,Illinois,149,Illinois
2026,linked,,Koda Holeman (Cal Poly),Koda Holeman,Cal Poly,125,15,NA,0,2,7914,2025,Cal Poly,125,Cal Poly
2026,linked,,Levi Haines (Penn State),Levi Haines,Penn State,174,1,First,5,0,8290,2025,Penn State,174,Penn State
2026,linked,,Logan Rozynski (Lehigh),Logan Rozynski,Lehigh,157,10,NA,1,2,8335,2025,Lehigh,157,Lehigh
2026,linked,,Lorenzo Frezza (Columbia),Lorenzo Frezza,Columbia,141,22,NA,0,2,8358,2025,Columbia,141,Columbia
2026,linked,,Luca Augustine (Pittsburgh),Luca Augustine,Pittsburgh,174,23,NA,1,2,8402,2025,Pittsburgh,174,Pittsburgh
2026,linked,,Lucas Byrd (Illinois),Lucas Byrd,Illinois,133,7,Eighth,3,3,8404,2025,Illinois,133,Illinois
2026,linked,,Luke Lilledahl (Penn State),Luke Lilledahl,Penn State,125,1,First,5,0,8421,2025,Penn State,125,Penn State
2026,linked,,Luke Luffman (Illinois),Luke Luffman,Illinois,285,26,NA,0,2,8423,2025,Illinois,285,Illinois
2026,linked,,Luke Rasmussen (South Dakota State),Luke Rasmussen,South Dakota State,285,29,NA,0,2,8431,2025,South Dakota State,285,South Dakota State
2026,linked,,MJ Gaitan (Iowa State),MJ Gaitan,Iowa State,174,11,Eighth,3,3,8463,2025,Iowa State,174,Iowa State
2026,linked,,Mac Church (Virginia Tech),Mac Church,Virginia Tech,165,25,NA,0,2,8464,2025,Virginia Tech,165,Virginia Tech
2026,linked,,Mac Stout (Pittsburgh),Mac Stout,Pittsburgh,197,10,NA,2,2,8466,2025,Pittsburgh,197,Pittsburgh
2026,linked,,Malachi DuVall (George Mason),Malachi DuVall,George Mason,184,25,NA,1,2,8478,2025,George Mason,184,George Mason
2026,linked,,Marc-Anthony McGowan (Princeton),Marc-Anthony McGowan,Princeton,125,10,Second,4,1,8514,2025,Princeton,125,Princeton
2026,linked,,Mason Shrader (Central Michigan),Mason Shrader,Central Michigan,157,25,NA,0,2,8795,2025,Central Michigan,149,Central Michigan
2026,linked,,Matty Bianchi (Little Rock),Matty Bianchi,Little Rock,165,8,NA,2,2,8970,2025,Little Rock,157,Little Rock
2026,linked,,Max McEnelly (Minnesota),Max McEnelly,Minnesota,184,3,First,5,0,8989,2025,Minnesota,184,Minnesota
2026,linked,,Maximo Renteria (Oregon State),Maximo Renteria,Oregon State,125,9,NA,1,2,9007,2025,Oregon State,125,Oregon State
2026,linked,,Meyer Shapiro (Cornell),Meyer Shapiro,Cornell,157,3,Eighth,3,3,9052,2025,Cornell,157,Cornell
2026,linked,,Mitchell Mesenbrink (Penn State),Mitchell Mesenbrink,Penn State,165,1,First,5,0,9580,2025,Penn State,165,Penn State
2026,linked,,Myles Takats (Bucknell),Myles Takats,Bucknell,174,10,NA,1,2,9618,2025,Bucknell,174,Bucknell
2026,linked,,Nash Singleton (Oregon State),Nash Singleton,Oregon State,141,24,NA,1,2,9628,2025,Oregon State,141,Oregon State
2026,linked,,Nic Bouzakis (Ohio State),Nic Bouzakis,Ohio State,125,3,NA,2,2,9731,2025,Ohio State,133,Ohio State
2026,linked,,Nicco Ruiz (Arizona State),Nicco Ruiz,Arizona State,165,4,Fourth,5,2,9732,2025,Arizona State,165,Arizona State
2026,linked,,Nick Feldman (Ohio State),Nick Feldman,Ohio State,285,5,NA,2,2,9760,2025,Ohio State,285,Ohio State
2026,linked,,Nick Fine (Columbia),Nick Fine,Columbia,174,16,NA,1,2,9762,2025,Columbia,184,Columbia
2026,linked,,Nicolar Rivera (Wisconsin),Nicolar Rivera,Wisconsin,125,23,NA,0,2,9836,2025,Wisconsin,125,Wisconsin
2026,linked,,Noah Mulvaney (Bucknell),Noah Mulvaney,Bucknell,165,19,NA,2,2,9848,2025,Bucknell,165,Bucknell
2026,linked,,Paddy Gallagher (Ohio State),Paddy Gallagher,Ohio State,165,16,Eighth,4,3,9928,2025,Ohio State,165,Ohio State
2026,linked,,Patrick Kennedy (Iowa),Patrick Kennedy,Iowa,174,5,Third,5,1,10042,2025,Iowa,174,Iowa
2026,linked,,Ryder Downey (Northern Iowa),Ryder Downey,Northern Iowa,165,11,NA,3,2,11282,2025,Northern Iowa,157,Northern Iowa
2026,linked,,Shane Cartagena-Walsh (Rutgers),Shane Cartagena-Walsh,Rutgers,184,11,NA,2,2,11570,2025,Rutgers,184,Rutgers
2026,linked,,Shayne Van Ness (Penn State),Shayne Van Ness,Penn State,149,1,Second,4,1,11637,2025,Penn State,149,Penn State
2026,linked,,Sheldon Seymour (Lehigh),Sheldon Seymour,Lehigh,125,4,NA,2,2,11641,2025,Lehigh,125,Lehigh
2026,linked,,Silas Allred (Nebraska),Silas Allred,Nebraska,184,8,NA,2,2,11666,2025,Nebraska,184,Nebraska
2026,linked,,Simon Ruiz (Cornell),Simon Ruiz,Cornell,174,2,NA,3,2,11670,2025,Cornell,174,Cornell
2026,linked,,Stephan Monchery (Appalachian State),Stephan Monchery,Appalachian State,285,23,NA,1,2,11718,2025,Appalachian State,285,Appalachian State
2026,linked,,Stephen Little (Little Rock),Stephen Little,Little Rock,197,3,Third,5,1,11727,2025,Little Rock,197,Little Rock
2026,linked,,Thomas Snipes (The Citadel),Thomas Snipes,The Citadel,165,30,NA,2,2,12160,2025,The Citadel,165,The Citadel
2026,linked,,Trevor Tinker (Cal Poly),Trevor Tinker,Cal Poly,285,22,NA,0,2,12687,2025,Cal Poly,285,Cal Poly
2026,linked,,Troy Spratley (Oklahoma State),Troy Spratley,Oklahoma State,125,5,Fifth,4,2,12718,2025,Oklahoma State,125,Oklahoma State
2026,linked,,Tyler Ferrara (Cornell),Tyler Ferrara,Cornell,133,11,NA,1,2,12758,2025,Cornell,133,Cornell
2026,linked,,Tyler Knox (Stanford),Tyler Knox,Stanford,133,15,Sixth,5,3,12766,2025,Stanford,133,Stanford
2026,linked,,Tyler Lillard (Indiana),Tyler Lillard,Indiana,165,26,NA,1,2,12769,2025,Indiana,165,Indiana
2026,linked,,Wyatt Henson (Lock Haven),Wyatt Henson,Lock Haven,141,13,Eighth,4,3,13124,2025,Lock Haven,141,Lock Haven | Oklahoma
2026,linked,,Zan Fugitt (Wisconsin),Zan Fugitt,Wisconsin,133,16,NA,1,2,13202,2025,Wisconsin,133,Wisconsin
2026,new,,Aaron Seidel (Virginia Tech),Aaron Seidel,Virginia Tech,133,4,Third,5,1,NA,NA,NA,NA,NA
2026,new,,Abraham Wojcikiewicz (Stanford),Abraham Wojcikiewicz,Stanford,184,28,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Aden Valencia (Stanford),Aden Valencia,Stanford,149,10,First,5,0,NA,NA,NA,NA,NA
2026,new,,Aeoden Sinclair (Missouri),Aeoden Sinclair,Missouri,184,2,Third,6,1,NA,NA,NA,NA,NA
2026,new,,Aldo Hernandez (Appalachian State),Aldo Hernandez,Appalachian State,141,33,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Alex Semenenko (Brown),Alex Semenenko,Brown,285,25,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Anderson Heap (Davidson),Anderson Heap,Davidson,149,26,NA,0,2,NA,NA,NA,NA,NA
