year,status,flag,wrestler,name,team,weight_class,seed,placement,ncaa_wins,ncaa_losses,individual_id,cand_last_year,cand_last_team,cand_last_weight,cand_teams
2026,new,,Luke Simcox (North Carolina),Luke Simcox,North Carolina,141,12,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Luke Willochell (Wyoming),Luke Willochell,Wyoming,133,29,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Mack Mauger (Missouri),Mack Mauger,Missouri,125,32,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Mahonri Rushton (Northern Colorado),Mahonri Rushton,Northern Colorado,184,31,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Marcel Lopez (SIU Edwardsville),Marcel Lopez,SIU Edwardsville,133,27,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Marcus Blaze (Penn State),Marcus Blaze,Penn State,133,3,Fourth,4,2,NA,NA,NA,NA,NA
2026,new,,Markel Baker (Northern Illinois),Markel Baker,Northern Illinois,133,8,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Mason Rebuck (Bloomsburg),Mason Rebuck,Bloomsburg,285,33,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Matthew Martino (Princeton),Matthew Martino,Princeton,141,32,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Max Petersen (North Dakota State),Max Petersen,North Dakota State,149,23,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Michael Gioffre (Illinois),Michael Gioffre,Illinois,149,25,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Mikey Squires (Binghamton),Mikey Squires,Binghamton,197,23,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Moses Espinoza-Owens (South Dakota State),Moses Espinoza-Owens,South Dakota State,174,14,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Nate Schon (Drexel),Nate Schon,Drexel,285,19,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Nick Fox (Northern Iowa),Nick Fox,Northern Iowa,184,29,NA,1,2,NA,NA,NA,NA,NA
2026,new,,PJ Duke (Penn State),PJ Duke,Penn State,157,1,Third,5,1,NA,NA,NA,NA,NA
2026,new,,Pierson Manville (Arizona State),Pierson Manville,Arizona State,141,28,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Riley Davis (Wyoming),Riley Davis,Wyoming,174,30,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Rune Lawrence (West Virginia),Rune Lawrence,West Virginia,197,21,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Ryan Michaels (Edinboro),Ryan Michaels,Edinboro,149,31,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Ryan Vigil (VMI),Ryan Vigil,VMI,165,33,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Ryder Block (Iowa),Ryder Block,Iowa,149,15,Sixth,5,3,NA,NA,NA,NA,NA
2026,new,,Rylan Rogers (Lehigh),Rylan Rogers,Lehigh,184,16,NA,3,2,NA,NA,NA,NA,NA
2026,new,,Sam Goin (Indiana),Sam Goin,Indiana,184,33,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Sean Seefeldt (Penn),Sean Seefeldt,Penn,165,24,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Sergio Vega (Oklahoma State),Sergio Vega,Oklahoma State,141,2,First,5,0,NA,NA,NA,NA,NA
2026,new,,Spencer Lanosga (Navy),Spencer Lanosga,Navy,285,13,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Sulayman Bah (Columbia),Sulayman Bah,Columbia,125,30,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Tyler Bienus (Bucknell),Tyler Bienus,Bucknell,184,30,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Tyler Chappell (Pittsburgh),Tyler Chappell,Pittsburgh,125,29,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Vincent Mueller (Columbia),Vincent Mueller,Columbia,285,17,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Will Betancourt (Rider),Will Betancourt,Rider,133,25,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Will Denny (NC State),Will Denny,NC State,165,10,NA,2,2,NA,NA,NA,NA,NA
2026,new,,Wyatt Ingham (Wisconsin),Wyatt Ingham,Wisconsin,197,20,NA,0,2,NA,NA,NA,NA,NA
2026,new,,Yannis Charles (Morgan State),Yannis Charles,Morgan State,157,33,NA,1,2,NA,NA,NA,NA,NA
2026,new,,Zack Ryder (Oklahoma State),Zack Ryder,Oklahoma State,184,22,Eighth,4,3,NA,NA,NA,NA,NA
